country,name,symbol,tag,id,issuer,isin,asset class
netherlands,Nn Sovereign Xlt Bond Fund,0P0000LZZQ,delta-lloyd-sovereign-xlt-bond-fun,1025922,Delta Lloyd Asset Management NV,NL0010489365,bond
netherlands,Nn Europe Fund - P,0P00000B97,nn-europe-fund-p,1025877,NN Investment Partners BV,NL0000292332,equity
netherlands,Aeam European Credit Fund,0P00006T32,aeam-european-credit-fund-inc,1025916,Aegon Investment Management BV,NL0000685568,bond
netherlands,Robeco Qi Global Developed Conservative Equities Fund G €,0P00016ZBM,robeco-global-conservative-equities,1043243,Robeco Institutional Asset Mgmt BV,NL0011354865,equity
netherlands,Juno Selection Fund,LP68041261,juno-selection-fund,1011116,Juno Investment Partners,NL0010188017,equity
netherlands,Asr Pensioen Mixfonds Defensief,0P00018H28,werknemers-pensioen-mixfonds-defens,1025962,ASR Vermogensbeheer N.V.,NL0012375158,equity
netherlands,Nn Dynamic Mix Fund Iv - P,0P00000FW1,nn-dynamic-mix-fund-iv-p,1025901,NN Investment Partners BV,NL0000293173,equity
netherlands,Kempen European Property Fund N.v.,0P00000BBU,kempen-european-property-fund-n.v.,1025890,Kempen Capital Management N.V.,NL0009296649,equity
netherlands,Aeam Core Eurozone Government Bond Fund,0P00008VJR,aeam-core-eurozone-government-bond,1025918,Aegon Investment Management BV,NL0006354573,bond
netherlands,Nn First Class Obligatie Fonds - P,0P000015DL,nn-first-class-obligatie-fonds-p,1025911,NN Investment Partners BV,NL0000286441,bond
netherlands,Nn Dynamic Mix Fund Iii - P,0P00000FW0,nn-dynamic-mix-fund-iii-p,1025900,NN Investment Partners BV,NL0000293165,equity
netherlands,Asn Duurzaam Mixfonds,0P00000BB3,asn-duurzaam-mixfonds,1025883,ASN Bank NV,NL0000280089,equity
netherlands,Robeco Us Conservative High Dividend Equities N.v. Eur G,0P00011HCC,robeco-us-conservative-high-dividen,1025943,Robeco Institutional Asset Mgmt BV,NL0010619748,equity
netherlands,Actiam Responsible Index Fund Equity - Europe - A,0P00014EJG,actiam-responsible-index-fund-eu-a,1025949,ACTIAM N.V.,,equity
