country,name,full_name,symbol,tag,id,issuer,isin,asset_class,underlying
netherlands,GS Call 357 EUR KBC GROEP NV 31Dec9,GOLDMAN SACHS & CO WERTP.GMBH Call 35.7 EUR KBC GROEP NV 31Dec99,NL0011891346,gs-call-357-eur-kbc-groep-nv-31dec9,1121560,Goldman Sachs & Co Wertpapier GMBH,NL0011891346,equity,KBC
netherlands,GS Call 2037208 EUR BOSKALIS 31Dec9,GOLDMAN SACHS & CO WERTP.GMBH Call 20.37208 EUR BOSKALIS 31Dec99,NL0013230428,gs-call-2037208-eur-boskalis-31dec9,1121559,Goldman Sachs & Co Wertpapier GMBH,NL0013230428,equity,Boskalis Westminster
netherlands,BNP Put 3.02 EUR POSTNL 31Dec99,BNP PARIBAS ARBITRAGE ISSUANCE BV Put 3.02 EUR POSTNL 31Dec99,NL0013149255,bnp-put-3.02-eur-postnl-31dec99,1121414,BNP Paribas Issuance BV,NL0013149255,equity,PostNL
netherlands,BNP AI ZT GOLD 31Dec99,BNP PARIBAS ARBITRAGE ISSUANCE BV ZT GOLD 31Dec99,NL0000455905,bnp-ai-zt-gold-31dec99,1121296,BNP Paribas Issuance BV,NL0000455905,commodity,XAU/USD
netherlands,BNP Call 7030 EUR DAX 31Dec99,BNP PARIBAS ARBITRAGE ISSUANCE BV Call 7030 EUR DAX 31Dec99,NL0010251930,bnp-call-7030-eur-dax-31dec99,1119999,BNP Paribas Issuance BV,NL0010251930,index,DAX
netherlands,ING Call 663 EUR HEINEKEN 31Dec99,ING BANK N.V. Call 66.3 EUR HEINEKEN 31Dec99,NL0011362264,ing-call-663-eur-heineken-31dec99,1122054,Ing Bank NV,NL0011362264,equity,Heineken
netherlands,BNP Put 4290 EUR STOXX 50 31Dec99,BNP PARIBAS ARBITRAGE ISSUANCE BV Put 4290 EUR EURO STOXX 50 31Dec99,NL0011090709,bnp-put-4290-eur-stoxx-50-31dec99,1121582,BNP Paribas Issuance B.V,NL0011090709,index,EURO STOXX 50
netherlands,GS Call 465ARCELORMITTAL 31Dec99,GOLDMAN SACHS & CO WERTP.GMBH Call 4.65 EUR ARCELORMITTAL 31Dec99,NL0011926886,gs-call-465arcelormittal-31dec99,1121580,Goldman Sachs & Co Wertpapier GMBH,NL0011926886,equity,ArcelorMittal
netherlands,GS Call 9224 USD GOLD FIXING 31Dec9,GOLDMAN SACHS & CO WERTP.GMBH Call 922.4 USD GOLD FIXING 31Dec99,NL0011417688,gs-call-9224-usd-gold-fixing-31dec9,1121563,Goldman Sachs & Co Wertpapier GMBH,NL0011417688,commodity,XAU/USD
netherlands,GS Call 5.05 EUR TOMTOM NV 31Dec99,GOLDMAN SACHS & CO WERTP.GMBH Call 5.05 EUR TOMTOM NV 31Dec99,NL0011040597,gs-call-5.05-eur-tomtom-nv-31dec99,1121515,Goldman Sachs & Co Wertpapier GMBH,NL0011040597,equity,TomTom
netherlands,BNP Put 6498 EUR TAKEAWAYCOM 31Dec9,BNP PARIBAS ARBITRAGE ISSUANCE BV Put 64.98 EUR TAKEAWAY.COM 31Dec99,NL0013282627,bnp-put-6498-eur-takeawaycom-31dec9,1121565,BNP Paribas Issuance B.V,NL0013282627,equity,Just Eat Takeaway
netherlands,GS Call 533ARCELORMITTAL 31Dec99,GOLDMAN SACHS & CO WERTP.GMBH Call 5.33 EUR ARCELORMITTAL 31Dec99,NL0011979356,gs-call-533arcelormittal-31dec99,1121581,Goldman Sachs & Co Wertpapier GMBH,NL0011979356,equity,ArcelorMittal
netherlands,BNP Put 6833 EUR TAKEAWAYCOM 31Dec9,BNP PARIBAS ARBITRAGE ISSUANCE BV Put 68.33 EUR TAKEAWAY.COM 31Dec99,NL0013275530,bnp-put-6833-eur-takeawaycom-31dec9,1121566,BNP Paribas Issuance B.V,NL0013275530,equity,Just Eat Takeaway
netherlands,BNP Put 5384 COCA COLA CO 31Dec99,BNP PARIBAS ARBITRAGE ISSUANCE BV Put 53.84 USD COCA COLA CO 31Dec99,NL0013281991,bnp-put-5384-coca-cola-co-31dec99,1121575,BNP Paribas Issuance B.V,NL0013281991,equity,
netherlands,BNP Call KONINKLIJKE WESSAN 31Dec99,BNP PARIBAS ARBITRAGE ISSUANCE BV Call KONINKLIJKE WESSANEN 31Dec99,NL0013157803,bnp-call-koninklijke-wessan-31dec99,1121567,BNP Paribas Issuance B.V,NL0013157803,equity,Koninklijke Wessanen
netherlands,BNP Put 44298 NETFLIX INC 31Dec99,BNP PARIBAS ARBITRAGE ISSUANCE BV Put 442.98 USD NETFLIX INC 31Dec99,NL0013282791,bnp-put-44298-netflix-inc-31dec99,1121574,BNP Paribas Issuance BV,NL0013282791,equity,Netflix
netherlands,BNP Call Crude Oil 03/19 31Dec99,BNP PARIBAS ARBITRAGE ISSUANCE BV Call NYMEX LS CRUDE 03/19 31Dec99,NL0013284516,bnp-call-crude-oil-03-19-31dec99,1121568,BNP Paribas Issuance B.V,NL0013284516,commodity,Crude Oil WTI
netherlands,GS Put 4950 EUR STOXX 50 31Dec99,GOLDMAN SACHS & CO WERTP.GMBH Put 4950 EUR EURO STOXX 50 31Dec99,NL0011231071,gs-put-4950-eur-stoxx-50-31dec99,1121569,Goldman Sachs & Co Wertpapier GMBH,NL0011231071,index,EURO STOXX 50
netherlands,GS Call 34AIR FRANCE KLM 31Dec99,GOLDMAN SACHS & CO WERTP.GMBH Call 3.4 EUR AIR FRANCE KLM 31Dec99,NL0011240825,gs-call-34air-france-klm-31dec99,1121579,Goldman Sachs & Co Wertpapier GMBH,NL0011240825,equity,Air France KLM
netherlands,BNP Call 6366.33 USD NASDAQ-100,BNP PARIBAS ARBITRAGE ISSUANCE BV Call 6366.33 USD NASDAQ-100 31Dec99,NL0013280779,bnp-call-6366.33-usd-nasdaq-100,1119994,BNP Paribas Issuance BV,NL0013280779,index,Nasdaq 100
netherlands,GS Put 825946 EUR AKZO NOBEL 31Dec9,GOLDMAN SACHS & CO WERTP.GMBH Put 82.5946 EUR AKZO NOBEL 31Dec99,NL0013085319,gs-put-825946-eur-akzo-nobel-31dec9,1121564,Goldman Sachs & Co Wertpapier GMBH,NL0013085319,equity,Akzo Nobel
netherlands,BNP Call 1051 USD GOLD 31Dec99,BNP PARIBAS ARBITRAGE ISSUANCE BV Call 1051 USD GOLD 31Dec99,NL0011530860,bnp-call-1051-usd-gold-31dec99,1119435,BNP Paribas Issuance BV,NL0011530860,commodity,XAU/USD
netherlands,GS Call 464 EUR KBC GROEP NV 31Dec9,GOLDMAN SACHS & CO WERTP.GMBH Call 46.4 EUR KBC GROEP NV 31Dec99,NL0011934724,gs-call-464-eur-kbc-groep-nv-31dec9,1121562,Goldman Sachs & Co Wertpapier GMBH,NL0011934724,equity,KBC
