country,name,symbol,tag,id,currency
australia,Russell High Dividend Australian Shares,RDV,russell-high-div-aus.-shares,47717,AUD
australia,BetaShares Managed Risk Australian Share,AUST,betashares-mgd-risk-australian-shr,1031304,AUD
australia,SPDR S&P World Ex Australia,WXOZ,spdr-sp-world-ex-australia,953180,AUD
australia,Vanguard Global Value Equity Active,VVLU,vanguard-global-value-equity-active,1075248,AUD
australia,BetaShares Australian Government Bond,AGVT,betashares-australian-gov-bond,1141834,AUD
australia,UBS IQ MSCI World ex Australia,UBW,ubs-iq-msci-world-ex-australia,956397,AUD
australia,Vanguard MSCI Australian Large Companies,VLC,vanguard-msci-aus.-large-comp.,38969,AUD
australia,Antipodes Global Shares,AGX1,antipodes-global-shares,1104663,AUD
australia,VanEck Vectors Australian Emerging Resources,MVE,market-vectors-australian-emerging,953172,AUD
australia,VanEck Vectors FTSE International Prop (Hdg),REIT,vaneck-vectors-ftse-intl-prop-hdg,1128883,AUD
australia,ETFS Physical Platinum,ETPMPT,etfs-physical-platinum-aus,47703,AUD
australia,SPDR S&P/ASX 200 Financials ex AREITS,OZF,spdr-s-p-asx200-financials-x-reit,38958,AUD
australia,BetaShares Managed Risk Global Share,WRLD,betashares-managed-risk-glbl-share,1031302,AUD
australia,SPDR MSCI Australia Select High Dividend Yield,SYI,spdr-msci-aus.-select-hi-div.-yi.,38965,AUD
australia,iShares MSCI India UCITS ETF USD Acc,NDIA,ishares-msci-india-ucits-usd-acc,1140513,AUD
australia,UBS IQ Research Preferred AU Dividend,DIV,ubs-iq-research-preferred-au-divide,953184,AUD
australia,BetaShares WisdomTree Japan,HJPN,betashares-wisdomtree-japan,1031297,AUD
australia,iShares Edge MSCI Australia Multifactor,AUMF,ishares-edge-msci-aus-multifactor,1094035,AUD
australia,VanEck Vectors ChinaAMC CSI 300,CETF,market-vectors-chinaamc-a-share-syn,962167,AUD
australia,iShares JP Morgan USD Emerging Markets Bond (AUD H,IHEB,ishares-jp-morgan-usd-em-bd-aud-hdg,1129409,AUD
australia,Montgomery Global Equities Fund,MOGL,montgomery-global-eqt-fd,1057219,AUD
australia,Vanguard Global Minimum Volatility Actv ETF (Mng),VMIN,vanguard-global-min-volactv-mng,1136251,AUD
australia,BetaShares Geared US Equity Currency Hedged,GGUS,betashares-geared-us-equity-curr,959568,AUD
australia,iShares S&P 500 AUD Hedged,IHVV,ishares-sp-500-aud-hedged,953170,AUD
australia,Betashares WisdomTree Europe,HEUR,betashares-wisdomtree-europe,1031299,AUD
australia,iShares CoreS&P MidCap 400,IJH,ishares-s-p-mcap-400,47699,AUD
australia,ETFS Morningstar Global Technology,TECH,etfs-morningstar-global-technology,1013273,AUD
australia,UBS IQ MSCI Japan Ethical,UBJ,ubs-iq-msci-japan-ethical,956398,AUD
australia,ETFS Global Core Infrastructure,CORE,etfs-global-core-infrastructure,1052293,AUD
australia,iShares MSCI South Korea Capped AUD,IKO,ishares-msci-south-korea-aus,47693,AUD
australia,ETFS Battery Tech & Lithium,ACDC,etfs-battery-tech-lithium,1096102,AUD
australia,BetaShares British Pound,POU,betashares-british-pound-etf,37473,AUD
australia,Russell Australian SemiGovernment Bond,RSM,russell-aus-semi-gov-bond,38963,AUD
australia,Theta Acbc Exch Traded Bond Units Mgr Sep-23,YTMMG2,theta-acbc-bd-units-mgr-sep23,1057099,AUD
australia,Vanguard Global Multi-Factor Active (Managed),VGMF,vanguard-globalmultifactoractivemng,1129281,AUD
australia,VanEck Vectors MSCI World ex Australia Quality Hed,QHAL,vaneckvectors-msciworld-x-au-q-hdgd,1128756,AUD
australia,BetaShares Euro,EEU,betashares-euro-etf,37494,AUD
australia,eInvest Future Impact Small Caps,IMPQ,einvest-future-impact-small-caps,1135919,AUD
australia,SPDR S&P/ASX Small Ordinaries,SSO,spdr-sp-asx-small-ordinaries,953183,AUD
australia,Beta Shares S&P/ASX 200 Financials Sector,QFN,betashares-s-p-asx-200-financials,47714,AUD
australia,iShares Global 100 AUD Hedged,IHOO,ishares-global-100-aud-hedged,953169,AUD
australia,InvestSMART Australian Equity Income Managed,INIF,investsmart-aus-equity-income-mngd,1086961,AUD
australia,BetaShares Commodities Basket Currency Hedged,QCB,betashares-commodity-basket,38959,AUD
australia,BetaShares Legg Mason Equity Income,EINC,betashares-legg-mason-equity-income,1072053,AUD
australia,Theta Acbc Exch Traded Bond Units Gpt Aug-26,YTMGP1,theta-acbc-bd-units-gpt-aug26,1057098,AUD
australia,UBS IQ Research Preferred AU Share,ETF,ubs-iq-research-preferred-au-share,953185,AUD
australia,UBS IQ MSCI Europe Ethical,UBE,ubs-iq-msci-europe-ethical,956394,AUD
australia,UBS IQ MSCI US Ethical,UBU,ubs-iq-msci-us-ethical,956396,AUD
australia,ANZS Physical Renminbi,ZCNH,anzs-physical-renminbi,962162,AUD
australia,iShares MSCI Taiwan AU,ITW,ishares-msci-taiwan-au,962164,AUD
australia,K2 Global Equities,KII,k2-global-equities,962165,AUD
australia,BetaShares Global Agriculture Companies,FOOD,betashares-global-agri-companies,1031303,AUD
australia,BetaShares Agriculture Currency Hedged,QAG,betashares-agriculture-etf,37440,AUD
austria,iShares ATX UCITS DE,DE000A0D8Q23,ishares-atx-(de)?cid=962154,962154,EUR
austria,ComStage MSCI Spain,LU1104577314,comstage-msci-spain?cid=1054750,1054750,EUR
austria,iShares Core S&P 500 UCITS,IE00B5BMR087,cs-etf-(ie)-on-s-p-500?cid=1054739,1054739,EUR
austria,iShares MSCI Europe UCITS Dist,IE00B1YZSC51,ishares-msci-europe---ie?cid=1054740,1054740,EUR
austria,db x-trackers ATX UCITS DR,LU0659579063,db-xtrackers-atx-de?cid=1054741,1054741,EUR
austria,db x-trackers DAX UCITS DR,LU0274211480,db-xtrackers-dax?cid=1054742,1054742,EUR
austria,iShares MSCI Poland UCITS,IE00B4M7GH52,ishares-msci-poland?cid=1054743,1054743,EUR
austria,ComStage EURO STOXX 50 NR UCITS,LU0378434079,comstage-euro-stoxx-50-nr?cid=1054745,1054745,EUR
austria,iShares EURO STOXX UCITS,DE000A0D8Q07,ishares-euro-stoxx-(de)-de?cid=1054746,1054746,EUR
austria,iShares NASDAQ-100 UCITS,DE000A0F5UF5,ishares-nasdaq-100?cid=1054747,1054747,EUR
austria,iShares FTSE MIB UCITS Acc,IE00B53L4X51,cs-etf-(ie)-on-ftse-mib?cid=1054748,1054748,EUR
austria,iShares S&P 500 UCITS Dist,IE0031442068,ishares-s-p-500---gbp?cid=1054749,1054749,EUR
austria,Deka EURO STOXX 50 UCITS,DE000ETFL029,etflab-euro-stoxx-50?cid=1054751,1054751,EUR
austria,iShares EURO STOXX 50 UCITS Dist,IE0008471009,ishares-dj-euro-stoxx-50-uk?cid=1054737,1054737,EUR
austria,iShares TecDAX UCITS,DE0005933972,ishares-tecdax-(de)-de?cid=1054752,1054752,EUR
austria,Vanguard S&P 500 UCITS USD Inc,IE00B3XXRP09,vanguard-s-p-500-uk?cid=1054754,1054754,EUR
austria,ComStage CAC 40 UCITS,LU0419740799,comstage-cac-40?cid=1054755,1054755,EUR
austria,ComStage PSI 20,LU0444605215,comstage-psi-20?cid=1054756,1054756,EUR
austria,iShares MDAX UCITS DE,DE0005933923,ishares-mdax-(de)-de?cid=1054757,1054757,EUR
austria,iShares SLI UCITS DE,DE0005933964,ishares-smi?cid=1054758,1054758,EUR
austria,ComStage SDAX TR UCITS,LU0603942888,comstage-sdax-tr?cid=1054759,1054759,EUR
austria,ComStage ATX UCITS,LU0392496690,comstage-atx?cid=1054760,1054760,EUR
austria,ComStage DAX TR UCITS,LU0378438732,comstage-dax-tr?cid=1054761,1054761,EUR
austria,Lyxor UCITS DAX,LU0252633754,lyxor-dax-pa?cid=1054762,1054762,EUR
austria,Source RDX UCITS,IE00B5NDLN01,rdx-source?cid=1054763,1054763,EUR
austria,db x-trackers S&P 500 UCITS 1C,LU0490618542,dbx-s-p-500-class-1-uk?cid=1054738,1054738,EUR
austria,iShares Core FTSE 100 UCITS,IE0005042456,ishares-ftse-100?cid=1054736,1054736,EUR
austria,Lyxor UCITS Dow Jones Industrial Average D-EUR,FR0007056841,lyxor-dj-industrial-average?cid=962155,962155,EUR
austria,ComStage Dow Jones Switzerland Titans 30 Net TR UC,LU0392496427,comstage-smi?cid=1054722,1054722,EUR
austria,Lyxor MSCI Eastern Europe Ex Russia UCITS Acc,FR0010204073,lyxor-eastern-europe-(cece-eur)-de?cid=962156,962156,EUR
austria,Lyxor UCITS Stoxx 50 D-EUR,FR0007054358,lyxor-euro-stoxx-50?cid=962157,962157,EUR
austria,iShares Dow Jones Industrial Average UCITS,DE0006289390,ishares-dj-industrial-average?cid=1054714,1054714,EUR
austria,db x-trackers STOXX Europe 600 UCITS DR 1C,LU0328475792,db-stoxx-europe-600-uk?cid=1054715,1054715,EUR
austria,db x-trackers FTSE 100 UCITS DR Income,LU0292097234,db-x-trackers-ftse-100-ucits-dr?cid=1054716,1054716,EUR
austria,Xtrackers Spain UCITS 1C,LU0592216393,xtrackers-spain-ucits?cid=1054717,1054717,EUR
austria,x-trackers Swiss Large DR 1D,LU0274221281,db-xtrackers-smi?cid=1054718,1054718,EUR
austria,db x-trackers Euro Stoxx 50 (DR) 1C,LU0380865021,db-euro-stoxx-50-1c-mc?cid=1054719,1054719,EUR
austria,db x-trackers Euro Stoxx 50 UCITS DR 1D,LU0274211217,db-x-trackers-dj-euro-stoxx-50-etf?cid=1054720,1054720,EUR
austria,SSgA SPDR S&P Euro Dividend Aristocrats,IE00B5M1WJ87,spdr-s-p-euro-dividend-aristocrats?cid=1054721,1054721,EUR
austria,Lyxor UCITS Russia (DJ Russia GDR) C-EUR,FR0010326140,lyxor-russia---dj-russia-gdr?cid=1054723,1054723,EUR
austria,db x-trackers CAC 40 UCITS 1D DR,LU0322250985,db-xtrackers-cac-40-de?cid=1054735,1054735,EUR
austria,SSgA SPDR S&P US Dividend Aristocrats,IE00B6YX5D40,spdr-s-p-us-dividend-aristocrats?cid=1054724,1054724,EUR
austria,db x-trackers MSCI Europe UCITS DR,LU0274209237,db-xtrackers-msci-europe-trn?cid=1054725,1054725,EUR
austria,db x-trackers MSCI USA UCITS DR,IE00BJ0KDR00,db-x-trackers-msci-usa-index?cid=1054726,1054726,EUR
austria,db x-trackers ShortDAX Daily UCITS 1C,LU0292106241,db-x-trackers-shortdax-daily?cid=1054727,1054727,EUR
austria,iShares MSCI Russia Adr/Gdr UCITS,IE00B5V87390,cs-etf-(ie)-on-msci-russia?cid=1054728,1054728,EUR
austria,iShares Core EURO STOXX 50 UCITS,IE00B53L3W79,cs-etf-(ie)-on-euro-stoxx-50?cid=1054729,1054729,EUR
austria,iShares S&P 500 EUR Hedged UCITS,IE00B3ZW0K18,ishares-s-p500-monthly-euro-hedged?cid=1054730,1054730,EUR
austria,db x-trackers FTSE MIB UCITS DR,LU0274212538,db-x-trackers-ftse-mib-index?cid=1054731,1054731,EUR
austria,db x-trackers MSCI EMU UCITS DR,LU0846194776,db-x-trackers-msci-emu-index?cid=1054732,1054732,EUR
austria,iShares STOXX Europe 50 UCITS,IE0008470928,ishares-dj-stoxx-50?cid=1054733,1054733,EUR
austria,iShares STOXX Europe 600 UCITS,DE0002635307,ishares-stoxx-europe-600-de?cid=1054734,1054734,EUR
austria,Deka DAX UCITS,DE000ETFL011,etflab-dax?cid=1054764,1054764,EUR
belgium,Lyxor UCITS BEL 20 TR,BEL,lyxor-bel-20-tr,37493,EUR
belgium,Source Goldman Sachs Equity Factor World UCITS,EFIWN,source-goldman-sachs-equity-factor?cid=1131079,1131079,HNL
brazil,Ishares Ibovespa,BOVA11,ishares-ibovespa,39004,BRL
brazil,ETF Bradesco Ibovespa Fdo De Indice,BOVB11,etf-bradesco-ibovespa-fdo-de-indice,1141312,BRL
brazil,It Now Ibovespa Fundo De Indice,BOVV11,it-now-ibovespa-fundo-de-indice,998470,BRL
brazil,General Shopping e Outlets do Brasil Fundo de Inve,GSFI11,generalshoppingeoutletsdobrasil-fii,1130948,BRL
